customer_in_new_file,unique_customer_id,customer_name__c,check_out_customer__c,grade_family__c,grade_name__c,avg_net_weight,daily_loads,current_inventory,productusage,product_delivery_location__c_id
1,001d000000GxWwcAAF,VacaCo LLC,12/19/2018 17:30,OneTrak,T7160,53770,2,51.83582782,40.4872015, 
1,001d000000GxWwfAAF,Brouwer Dairy,12/19/2018 18:36,OneTrak,T7125,50083.56347,2,40.97916068,41.8588209,a0f0V00000QefLAQAZ
1,001d000000GxWwkAAF,Quality Beef Producers LLP,12/19/2018 3:32,RAMP,R3000,54705.94417,1,75.5390495,26.10830545,a0fd000000OQTWGAA5
1,001d000000GxWwkAAF,Quality Beef Producers LLP,12/19/2018 19:13,SB Plus,V0450,54437.35312,3,127.8015249,82.35011464,a0fd000000OQcIBAA1
1,001d000000GxWwyAAF,McClain Feedyard,12/13/2018 18:54,Sweet Bran,SB60,54822.47863,1,49.26766402,13.74640401,a0fd000000Ey0TfAAJ
1,001d000000GxWx3AAF,Dawn Custom Cattle Feeders Inc,12/19/2018 17:43,SB Plus,V0365,54772.59446,2,127.5170489,7.574130433,a0f0V00000QebtIQAR
1,001d000000GxWx9AAF,Texas Beef Producers Feedyard,12/19/2018 9:50,Sweet Bran,SB60,54845.37345,6,268.5311551,138.414209,a0fd000000Ey0UPAAZ
1,001d000000GxWxAAAV,Palo Duro Feedyard,12/18/2018 21:52,Sweet Bran,SB60,54249.68809,4,217.6885196,102.2520001,a0fd000000Ey0TzAAJ
1,001d000000GxWxMAAV,Smith Cattle-Proctor Ranch,12/5/2018 5:17,RAMP,R3000,54456.09195,1,30.15347727,2.091520673,a0fd000000GbDsOAAV
1,001d000000GxWxSAAV,Flint Rock Feeders,12/18/2018 3:41,RAMP,R3000,54127.52328,1,42.87282579,13.82664463,a0fd000000Ey0SwAAJ
1,001d000000GxWxTAAV,Hansford County Feeders LP,12/19/2018 1:44,RAMP,R3000,53473.32242,1,82.10488891,49.99079302,a0fd000000Ey0T5AAJ
1,001d000000GxWxlAAF,Potter Feedlot,12/19/2018 14:52,Sweet Bran,SB60,53824.54545,1,32.86900213,13.7205166,a0fd000000Ey0U2AAJ
1,001d000000GxWxvAAF,"Cates, Monty",12/19/2018 17:44,SB Plus,V0525,52580,1,30.11462311,7.258094003, 
1,001d000000GxWxxAAF,Wheeler Land & Livestock LLC,12/19/2018 18:54,SB Plus,V0310,54082.06966,4,205.9475879,60.65299945,a0fd000000HWLPBAA5
