plant_serves_customer,customer_name__c,non_medicated_yard__c,gps_customer_check_in_location__latitude__s,gps_customer_check_in_location__longitude__s,grade_family__c,grade_name__c,miles_round_trip__c,avg_mph__c,plant_name,prod_delivery_name,feed_day_start__c,feed_day_end__c,inventory_maximum__c,inventory_minimum__c,inventory_target__c,unique_customer_id,product_delivery_location__c_id,,gps_lat
1,"Diamond 6 Feeders, Inc.",TRUE,41.77,-96.6904,SB Plus,V5035,54,45,Blair,PDL-0169,630,1700,150,24,90,001d000000GxWsLAAV,a0fd000000Ey0SlAAJ,,
1,Weitzenkamp Farms Inc.-North,FALSE,41.7254,-96.5315,Sweet Bran,SB60,38,45,Blair,PDL-0316,700,1700,60,15,48,001d000000GxWoiAAF,a0fd000000DQB1kAAH,,
1,"UNL - Beef Feedlot, ARDC",TRUE,41.1405,-96.4819,Sweet Bran,SB60,45,45,Blair,PDL-0277,600,1800,60,4,46,001d000000GxX4zAAF,a0fd000000Ey0UVAAZ,,
1,"Valley View Feeders, Inc.",FALSE,40.6568,-99.5547,Sweet Bran,SB60,212,45,Blair,PDL-0283,700,1700,70,11,51,001d000000GxWq3AAF,a0fd000000Ey0UbAAJ,,
1,"Urban, Dean G.",FALSE,41.6664,-97.1944,Sweet Bran,SB60,77,45,Blair,PDL-0464,700,1700,90,12,50,001d000000GxWrCAAV,a0fd000000HWLWAAA5,,
1,Dicke Feedyards,TRUE,41.6423,-97.342,Sweet Bran,SB60,87,45,Blair,PDL-0463,700,1700,65,10,45,001d000000GxWtQAAV,a0fd000000HWLW0AAP,,
1,Faria Southside 1,FALSE,34.4629,-102.2337,Sweet Bran,SB60,42,55,Bovina,PDL-0392,500,1400,140,57,83,001d000001sQNU9AAO,a0fd000000I0A1yAAF,,
1,Peterson Place-Andrew Sunderman Acct,FALSE,41.8969,-97.3825,Sweet Bran,SB60,97,45,Blair,PDL-0386,700,1700,60,10,45,001d000001rmMtAAAU,a0fd000000HvIjHAAV,,
1,"Wordekemper Farms, Inc.",FALSE,41.8428,-96.8131,Sweet Bran,SB60,55,45,Blair,PDL-0292,700,1700,60,5,48,001d000000GxWqyAAF,a0fd000000Ey0UkAAJ,,
1,T B R Inc.,FALSE,41.6195,-96.3858,Sweet Bran,SB60,17,45,Blair,PDL-0437,700,1400,60,0,45,001d000000GxWrKAAV,a0fd000000HWLRMAA5,,
1,Deltu Farm Inc,FALSE,40.2327,-96.6147,OneTrak,T6035,121,45,Blair,PDL-0168,500,1400,45,11,36,001d000000GxWrRAAV,a0fd000000Ey0SkAAJ,,
1,Kriete - Paul,FALSE,41.6491,-96.4254,Sweet Bran,SB60,29,45,Blair,PDL-0212,700,1600,60,3,50,001d000000GxWqwAAF,a0fd000000Ey0TSAAZ,,
1,"Sparkman Cattle Feeders, Inc.",FALSE,34.7152,-102.4083,Sweet Bran,SB60,44,55,Bovina,PDL-0262,600,1600,75,11,45,001d000000GxWvnAAF,a0fd000000Ey0UGAAZ,,
1,Kriete - John,FALSE,41.6368,-96.451,Sweet Bran,SB60,29,45,Blair,PDL-0442,700,1600,50,6,40,001d000000GxWqvAAF,a0fd000000HWLSUAA5,,
1,Wolff Place-Andrew Sunderman Acct,FALSE,41.9463,-97.3891,Sweet Bran,SB60,99,45,Blair,PDL-0385,700,1700,60,0,51,001d000001rmMXEAA2,a0fd000000HvIhpAAF,,
1,D B Feedyards Inc.,FALSE,41.7271,-96.3358,SB Plus,V5007,36,45,Blair,PDL-0538,600,1800,90,15,65,001d000000GxWogAAF,a0fd000000JdGHPAA3,,
1,Prinz Incorporated,FALSE,41.8235,-96.6685,Sweet Bran,SB60,49,45,Blair,PDL-0250,700,1700,60,17,50,001d000000GxWpAAAV,a0fd000000Ey0U4AAJ,,
1,Urwiler Feeders Incorporated,FALSE,42.0115,-96.9218,Sweet Bran,SB60,63,45,Blair,PDL-0462,630,1700,60,9,45,001d000000GxWrIAAV,a0fd000000HWLVvAAP,,
1,Engelmeyer Farms Inc.-North,FALSE,41.9535,-96.7367,Sweet Bran,SB60,56,45,Blair,PDL-0174,700,1700,60,4,50,001d000000GxWnzAAF,a0fd000000Ey0SqAAJ,,
1,Kansas State Univ-Dairy Unit,TRUE,39.2256,-96.5907,Sweet Bran,SB60,213,45,Blair,PDL-0547,600,1800,55,4,40,001d000000GxWzQAAV,a0fd000000JdKXeAAN,,
1,Orville Hoffschneider & Sons,FALSE,40.7788,-97.4103,Sweet Bran,SB60,115,45,Blair,PDL-0502,700,1600,60,3,42,001d000000GxWt4AAF,a0fd000000IfrF3AAJ,,
1,Morgan Feedlot LLC,FALSE,42.1334,-96.4626,Sweet Bran,SB60,55,45,Blair,PDL-0328,700,1700,60,10,45,001d000000ISiMgAAL,a0fd000000G6EChAAN,,
1,Kansas State Univ-Beef Stocker,TRUE,39.2374,-96.6374,Sweet Bran,SB60,220,45,Blair,PDL-0573,600,1800,75,3,35,001d000000GxWzOAAV,a0fd000000JPcVYAA1,,
1,Sunderman-East,FALSE,41.9314,-97.3781,Sweet Bran,SB60,97,45,Blair,PDL-0447,700,1700,225,70,90,001d000000GxWosAAF,a0fd000000HWLT3AAP,,
1,Daryl & Craig Deters,FALSE, , ,OneTrak,T6070,147,45,Blair,PDL-0528,600,1800,36,4,33,001d000001wwiCbAAI,a0fd000000Jd3dUAAR,,
1,CanTex Feeders LP,FALSE,34.8578,-100.704,SB Plus,V0450,157,55,Bovina,PDL-0722,600,1800,224,94,137,001d000001pvabaAAA,a0fd000000OMx4VAAT,,
1,"Cumming, Alan",FALSE,41.9218,-95.8601,Sweet Bran,SB60,59,45,Blair,PDL-0159,700,1600,50,3,45,001d000000GxWpFAAV,a0fd000000Ey0SbAAJ,,
1,West Texas A&M University,TRUE,34.9676,-101.8029,Sweet Bran,SB60,79,55,Bovina,PDL-0286,600,1800,45,3,40,001d000000GxX0NAAV,a0fd000000Ey0UeAAJ,,
1,"Nebraska ILS Feeders, Inc. dba Windmill Feeders",FALSE,41.2739,-98.6124,Sweet Bran,SB60,155,45,Blair,PDL-0358,700,1700,80,15,52,001d000000GxWrTAAV,a0fd000000Gq7VxAAJ,,
1,Heine Farms Feedyard LLC,FALSE,42.8275,-97.3308,Sweet Bran,SB60,146,45,Blair,PDL-0460,700,1700,70,7,51,001d000000GxWoxAAF,a0fd000000HWLVlAAP,,
1,Kirkland Feedyard Inc.,FALSE,35.2752,-102.4342,SB Plus,V0170,70,55,Bovina,PDL-0698,600,1600,135,58,75,001d000000GxWvZAAV,a0fd000000MWOdAAAX,,
1,Weitzenkamp Farms Inc.-South,FALSE,41.7267,-96.5401,Sweet Bran,SB60,40,45,Blair,PDL-0317,700,1700,60,4,40,001d000000GxWojAAF,a0fd000000DQB3mAAH,,
1,Buessing Holsteins LLC,FALSE,39.8611,-96.1638,OneTrak,T6010,152,45,Blair,PDL-0154,500,1400,40,6,35,001d000000GxWtkAAF,a0fd000000Ey0SWAAZ,,
1,"Kirkham, Kelly L.",FALSE,39.2809,-95.3822,Sweet Bran,SB60,189,45,Blair,PDL-0205,700,1500,50,5,37,001d000000GxX2zAAF,a0fd000000Ey0TLAAZ,,
1,Stallbaumer Cattle Feeders Inc,FALSE,39.8373,-96.184,Sweet Bran,SB60,158,45,Blair,PDL-0263,700,1500,60,5,41,001d000000GxX2qAAF,a0fd000000Ey0UHAAZ,,
1,KMC Farms Ltd.,FALSE,42.0315,-94.763,Sweet Bran,SB60,90,45,Blair,PDL-0209,700,1700,56,5,45,001d000000GxWpBAAV,a0fd000000Ey0TPAAZ,,
1,New Balance Commodities-NVF CO. LLC,FALSE,40.9707,-94.8949,Sweet Bran,SB60,102,45,Blair,PDL-0312,700,1700,49,5,41,001d000001j5wZ2AAI,a0fd000000F1TnDAAV,,
