customer_name__c,non_medicated_yard__c,grade_family__c,grade_name__c,miles_round_trip__c,avg_mph__c,plant_name,feed_day_start__c,feed_day_end__c,unique_customer_id
Roorda Dairy LLC,FALSE,OneTrak,T6115,135,45,Blair,500,1400,0010V00002IY3iRQAT
Timberview Farms,FALSE,OneTrak,T6135,133,45,Blair,500,1300,001d000000GxX24AAF
Morning Star Dairy LLC,FALSE,OneTrak,T7995,10,55,Dalhart,500,1100,001d000000GxX0gAAF
"Green Plains Cattle Company, LLC",FALSE,SB Plus,V0485,57,55,Bovina,600,1600,0010V00002C33JzQAJ
Brouwer Dairy,FALSE,OneTrak,T7125,43,55,Bovina,500,1400,001d000000GxWwfAAF
Faria Southside 2,FALSE,Sweet Bran,SB60,45,55,Bovina,500,1400,0010V00002DFN9hQAH
Grande Vida LLC,FALSE,OneTrak,T7150,26,55,Bovina,500,1400,001d000000JTa4zAAD
J7 Dairy LLC(KS),FALSE,OneTrak,T7155,216,55,Dalhart,630,1130,001d000000JTa0EAAT
"Mc6 Cattle Feeders, Inc.",TRUE,SB Plus,V0505,55,55,Bovina,500,1500,001d000000GxWzhAAF
Cattlemens Feedlot LTD.,FALSE,SB Plus,V0475,60,55,Bovina,600,1600,001d000000GxWw8AAF
Dawn Custom Cattle Feeders Inc,FALSE,SB Plus,V0365,57,55,Bovina,600,1600,001d000000GxWx3AAF
Fox Dairy Ltd.,FALSE,OneTrak,T7995,81,55,Bovina,530,1700,001d000000GxX0jAAF
Carter Creek Cattle LLC,FALSE,Sweet Bran,SB60,177,45,Blair,600,1800,0010V00002Iax51QAB
Wood River Dairy,FALSE,OneTrak,T6140,216,45,Blair,600,1800,001d000000GxX2PAAV
"Dutch Dakota Dairy, LLC",FALSE,OneTrak,T6030,253,45,Blair,600,1800,001d000000GxWtlAAF
Milk Time Dairy,FALSE,OneTrak,T7995,26,55,Bovina,500,1400,0010V00002DDkIrQAL
Osterkamp Dairy East,FALSE,OneTrak,T7105,26,55,Bovina,600,1800,0010V00002GrJrLQAV
Sandy Creek Dairy,FALSE,OneTrak,T7995,185,55,Bovina,500,1400,001d000000GxX1jAAF
"Brown Cattle Feeders, Inc.",FALSE,SB Plus,V0482,51,55,Bovina,700,1500,001d000000GxWsAAAV
Mission Dairy,FALSE,OneTrak,T7995,54,55,Bovina,500,1400,001d000000GxX1gAAF
Fincham Dairy LLC,FALSE,OneTrak,T6105,157,45,Blair,500,1400,001d000000GxWrjAAF
Texico Jerseys LLC,FALSE,OneTrak,T7995,18,55,Bovina,500,1400,001d000001QLNS6AAP
Shepperd Feeding Co. Inc.,TRUE,SB Plus,V5120,229,45,Blair,700,1500,001d000000GxWsaAAF
Wilbur Pudenz Inc.,FALSE,SB Plus,V5095,87,45,Blair,700,1600,001d000000ISiPOAA1
Van Ess Legacy Dairy,FALSE,OneTrak,T6130,152,45,Blair,600,1800,0010V00002IawzcQAB
"Tierra Blanca Cattle Feeders,LP",TRUE,RAMP,R3000,43,55,Bovina,800,1600,0010V00002KfdtNQAR
Southern Sky Dairy,FALSE,OneTrak,T7122,41,55,Bovina,500,1400,001d000000GxX05AAF
Iowa State University-ISU Beef Nutrition Research Unit,FALSE,Sweet Bran,SB60,149,45,Blair,600,1800,0010V00002K8hHnQAJ
Leslies Dairy,FALSE,OneTrak,T7995,9,55,Bovina,600,1700,0010V00002JaulwQAB
Deters Dairy Farm,FALSE,OneTrak,781P,137,45,Blair,500,1400,001d000000GxWryAAF
Andreasen Feedlot,FALSE,SB Plus,V5087,12,45,Blair,700,1800,001d000000GxWocAAF
Rottinghaus Holstein Farm Inc.,FALSE,OneTrak,T6100,133,45,Blair,500,1500,001d000001mMpbMAAS
Adcock Family Ltd Partnership-Infinity Cattle Co,FALSE,SB Plus,V0055,135,55,Dalhart,600,1600,0010V00002IaKHwQAN
Kabil Cattle,FALSE,RAMP,R4000,28,55,Dalhart,800,1700,001d00000227uUiAAI
Potter Feedlot - Perico,FALSE,Sweet Bran,SB60,22,55,Dalhart,800,1600,0010V00002JbMVDQA3
"Providence Dairy, LLC - SD",FALSE,OneTrak,781,229,45,Blair,500,1300,001d000000GxWthAAF
Texas Agricultural Experiment,TRUE,Sweet Bran,SB60,78,55,Bovina,600,1800,001d000000GxX0EAAV
Osterkamp Dairy West,FALSE,OneTrak,T7107,26,55,Bovina,500,1500,001d000000GxWyLAAV
W Diamond Dairy,FALSE,OneTrak,T7110,53,55,Bovina,500,1500,0010V00002C4S8uQAF
New Mexico State University,TRUE,Sweet Bran,SB60,51,55,Dalhart,600,1800,001d000000GxWwPAAV
Smith Cattle-The Jericho,FALSE,RAMP,R3000,140,55,Dalhart,600,1500,001d000001mNxeuAAC
